Sitio,PGW,Arelion - Cd Juarez,Gold Data - Reynosa Iusatel,Gold Data - Nuevo Laredo,Axtel - MSO Merida,Cirion - Cirion Mirlo,Cirion - Cirion Humbold,Cirion - Cirion Zurich,Cirion - MSO KIO Tultitlan
MSO Apodaca,PGW1,,2,3,,,1,,
MSO Apodaca,PGW2,2,,1,,,3,,
MSO Megacentro,PGW1,3,,2,,,,1,
MSO Megacentro,PGW2,,2,1,,,,3,
MSO Toluca,PGW1,3,,2,,,,1,
MSO Toluca,PGW2,2,1,,,,,3,
MSO Tlaquepaque,PGW1,3,2,,,1,,,
MSO Tlaquepaque,PGW2,2,,1,,3,,,
MSO Tultitlan KIO,PGW1,2,,3,,,,,1
MSO Tultitlan KIO,PGW2,,1,2,,,,,3
MSO Merida,PGW1,,3,2,1,,,,
MSO Merida,PGW2,2,1,,3,,,,
